Designator,Mid X,Mid Y,Layer,Rotation
D1,6.25,-8.22,bottom,180
D2,9.15,-27.73,bottom,180
D3,13.42,-46.3,bottom,180
D4,27.61,-65.28,bottom,180
D5,12.8,-8.21,bottom,180
D6,30.54,-27.72,bottom,180
D7,40.02,-46.76,bottom,180
D8,46.68,-65.14,bottom,180
D9,44.92,-8.68,bottom,180
D10,49.55,-27.69,bottom,180
D11,59.1,-46.79,bottom,180
D12,65.62,-65.08,bottom,180
D13,51.42,-8.63,bottom,180
D14,68.66,-27.76,bottom,180
D15,78.18,-46.77,bottom,180
D16,89.72,-8.53,bottom,180
D17,82.8,-8.57,bottom,180
D18,87.75,-27.81,bottom,180
D19,96.75,-46.33,bottom,180
D20,87.04,-65.04,bottom,180
